"STATISTIC","Statistic Label","TLIST(A1)","Year","C04253V05027","Hazardousness","C04251V05025","Waste Category","C04252V05026","Waste Management Operation","UNIT","VALUE"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","140","Acid, alkaline or saline wastes[W012]","100","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","140","Acid, alkaline or saline wastes[W012]","110","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","140","Acid, alkaline or saline wastes[W012]","120","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","140","Acid, alkaline or saline wastes[W012]","130","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","140","Acid, alkaline or saline wastes[W012]","140","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","140","Acid, alkaline or saline wastes[W012]","150","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","140","Acid, alkaline or saline wastes[W012]","160","Recovery - recycling[RCV_R]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","140","Acid, alkaline or saline wastes[W012]","170","Recovery - backfilling[RCV_B]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","150","Used oils[W013]","-","All Waste treatment[TRT]","Tonnes","21221"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","150","Used oils[W013]","100","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes","18"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","150","Used oils[W013]","110","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes","18"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","150","Used oils[W013]","120","Disposal - incineration (D10)[DSP_I]","Tonnes","0"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","150","Used oils[W013]","130","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes","0"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","150","Used oils[W013]","140","Recovery - energy recovery (R1)[RCV_E]","Tonnes","0"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","150","Used oils[W013]","150","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes","21203"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","150","Used oils[W013]","160","Recovery - recycling[RCV_R]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","150","Used oils[W013]","170","Recovery - backfilling[RCV_B]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","160","Chemical wastes[W02A]","-","All Waste treatment[TRT]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","160","Chemical wastes[W02A]","100","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","160","Chemical wastes[W02A]","110","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","160","Chemical wastes[W02A]","120","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","160","Chemical wastes[W02A]","130","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","160","Chemical wastes[W02A]","140","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","160","Chemical wastes[W02A]","150","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","160","Chemical wastes[W02A]","160","Recovery - recycling[RCV_R]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","160","Chemical wastes[W02A]","170","Recovery - backfilling[RCV_B]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","170","Industrial effluent sludges[W032]","-","All Waste treatment[TRT]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","170","Industrial effluent sludges[W032]","100","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","170","Industrial effluent sludges[W032]","110","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","170","Industrial effluent sludges[W032]","120","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","170","Industrial effluent sludges[W032]","130","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","170","Industrial effluent sludges[W032]","140","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","170","Industrial effluent sludges[W032]","150","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","170","Industrial effluent sludges[W032]","160","Recovery - recycling[RCV_R]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","170","Industrial effluent sludges[W032]","170","Recovery - backfilling[RCV_B]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","180","Sludges and liquid wastes from waste treatment[W033]","-","All Waste treatment[TRT]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","180","Sludges and liquid wastes from waste treatment[W033]","100","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","180","Sludges and liquid wastes from waste treatment[W033]","110","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","180","Sludges and liquid wastes from waste treatment[W033]","120","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","180","Sludges and liquid wastes from waste treatment[W033]","130","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","180","Sludges and liquid wastes from waste treatment[W033]","140","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","180","Sludges and liquid wastes from waste treatment[W033]","150","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","180","Sludges and liquid wastes from waste treatment[W033]","160","Recovery - recycling[RCV_R]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","180","Sludges and liquid wastes from waste treatment[W033]","170","Recovery - backfilling[RCV_B]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","190","Health care and biological wastes[W05]","-","All Waste treatment[TRT]","Tonnes","0"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","190","Health care and biological wastes[W05]","100","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","190","Health care and biological wastes[W05]","110","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","190","Health care and biological wastes[W05]","120","Disposal - incineration (D10)[DSP_I]","Tonnes","0"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","190","Health care and biological wastes[W05]","130","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","190","Health care and biological wastes[W05]","140","Recovery - energy recovery (R1)[RCV_E]","Tonnes","0"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","190","Health care and biological wastes[W05]","150","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","190","Health care and biological wastes[W05]","160","Recovery - recycling[RCV_R]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","190","Health care and biological wastes[W05]","170","Recovery - backfilling[RCV_B]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","200","Recyclable wastes (subtotal, W06+W07 except W077)[W06_07A]","-","All Waste treatment[TRT]","Tonnes","308012"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","200","Recyclable wastes (subtotal, W06+W07 except W077)[W06_07A]","100","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","200","Recyclable wastes (subtotal, W06+W07 except W077)[W06_07A]","110","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","200","Recyclable wastes (subtotal, W06+W07 except W077)[W06_07A]","120","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","200","Recyclable wastes (subtotal, W06+W07 except W077)[W06_07A]","130","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","200","Recyclable wastes (subtotal, W06+W07 except W077)[W06_07A]","140","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","200","Recyclable wastes (subtotal, W06+W07 except W077)[W06_07A]","150","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes","308012"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","200","Recyclable wastes (subtotal, W06+W07 except W077)[W06_07A]","160","Recovery - recycling[RCV_R]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","200","Recyclable wastes (subtotal, W06+W07 except W077)[W06_07A]","170","Recovery - backfilling[RCV_B]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","210","Metal wastes, ferrous[W061]","-","All Waste treatment[TRT]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","210","Metal wastes, ferrous[W061]","100","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","210","Metal wastes, ferrous[W061]","110","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","210","Metal wastes, ferrous[W061]","120","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","210","Metal wastes, ferrous[W061]","130","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","210","Metal wastes, ferrous[W061]","140","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","210","Metal wastes, ferrous[W061]","150","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","210","Metal wastes, ferrous[W061]","160","Recovery - recycling[RCV_R]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","210","Metal wastes, ferrous[W061]","170","Recovery - backfilling[RCV_B]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","220","Metal wastes, non-ferrous[W062]","-","All Waste treatment[TRT]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","220","Metal wastes, non-ferrous[W062]","100","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","220","Metal wastes, non-ferrous[W062]","110","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","220","Metal wastes, non-ferrous[W062]","120","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","220","Metal wastes, non-ferrous[W062]","130","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","220","Metal wastes, non-ferrous[W062]","140","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","220","Metal wastes, non-ferrous[W062]","150","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","220","Metal wastes, non-ferrous[W062]","160","Recovery - recycling[RCV_R]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","220","Metal wastes, non-ferrous[W062]","170","Recovery - backfilling[RCV_B]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","230","Metal wastes, mixed ferrous and non-ferrous[W063]","-","All Waste treatment[TRT]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","230","Metal wastes, mixed ferrous and non-ferrous[W063]","100","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","230","Metal wastes, mixed ferrous and non-ferrous[W063]","110","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","230","Metal wastes, mixed ferrous and non-ferrous[W063]","120","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","230","Metal wastes, mixed ferrous and non-ferrous[W063]","130","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","230","Metal wastes, mixed ferrous and non-ferrous[W063]","140","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","230","Metal wastes, mixed ferrous and non-ferrous[W063]","150","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","230","Metal wastes, mixed ferrous and non-ferrous[W063]","160","Recovery - recycling[RCV_R]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","230","Metal wastes, mixed ferrous and non-ferrous[W063]","170","Recovery - backfilling[RCV_B]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","240","Glass wastes[W071]","-","All Waste treatment[TRT]","Tonnes","3124"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","240","Glass wastes[W071]","100","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","240","Glass wastes[W071]","110","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","240","Glass wastes[W071]","120","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","240","Glass wastes[W071]","130","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","240","Glass wastes[W071]","140","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","240","Glass wastes[W071]","150","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes","3124"
